CustomerID,Age,Gender,City,AnnualIncome_INR,TenureMonths,CardType,CreditLimit_INR,NumProductsHeld,DaysSinceLastTxn,TxnPerMonth,AvgMonthlySpend_INR,CreditUtilization,LatePayments12M,Complaints6M,ServiceCalls6M,MobileAppLogins3M,RewardsRedeemed12M,AutoPayEnabled,Churned
CUST100001,58,Male,Mumbai,349000,123,Basic,52000,3,33,4,2017,0.281,0,0,0,,2,0,0
CUST100002,64,Female,Delhi NCR,1114000,60,Gold,467000,1,20,6,30167,0.401,2,1,5,27,1,0,0
CUST100003,36,Female,Bangalore,300000,117,Basic,52000,2,15,1,1242,0.593,4,0,1,1,0,1,0
CUST100004,56,Female,Hyderabad,822000,43,Silver,247000,1,25,19,24561,0.317,1,0,0,12,7,1,0
CUST100005,54,Male,Pune,1735000,72,Platinum,821000,5,24,5,11120,0.326,0,0,0,2,2,0,0
CUST100006,66,Female,Chennai,954000,4,Gold,406000,1,1,13,18850,0.171,0,0,1,38,6,0,0
CUST100007,55,Male,Mumbai,801000,69,Silver,261000,3,40,1,9910,0.532,4,1,0,5,4,1,0
CUST100008,60,Female,Delhi NCR,536000,29,Basic,103000,1,12,4,2652,0.281,0,0,2,2,2,0,0
CUST100009,59,Male,Bangalore,742000,75,Silver,207000,1,54,11,14912,0.726,3,1,2,5,1,0,1
CUST100010,66,Female,Mumbai,635000,33,Silver,170000,2,22,6,10505,0.072,0,0,1,1,0,1,0
CUST100011,53,Male,Delhi NCR,473000,1,Basic,71000,1,62,8,3299,0.399,1,2,2,18,1,0,1
CUST100012,71,Male,Delhi NCR,622000,14,Silver,167000,1,3,10,7203,0.67,0,1,1,13,1,1,0
CUST100013,50,Female,Mumbai,814000,9,Basic,176000,1,82,6,7334,0.477,5,0,0,20,5,0,1
CUST100014,61,Male,Bangalore,478000,48,Basic,82000,2,21,16,4609,0.441,2,0,0,23,1,0,0
CUST100015,60,Female,Chennai,468000,39,Basic,69000,1,51,11,4273,0.055,2,0,1,12,0,1,0
CUST100016,72,Male,Mumbai,345000,13,Basic,55000,1,29,9,3274,0.64,2,0,0,6,1,0,1
CUST100017,49,Female,Bangalore,904000,19,Gold,375000,1,8,2,12384,0.46,2,0,0,10,2,1,0
CUST100018,62,Male,Pune,985000,9,Gold,368000,1,9,9,31927,0.544,2,1,5,11,7,0,0
CUST100019,53,Male,Chennai,829000,9,Silver,245000,1,11,10,11682,0.488,3,0,0,12,2,0,1
CUST100020,46,Male,Pune,1240000,5,Gold,543000,1,11,5,35041,0.387,0,2,5,17,0,1,1
CUST100021,64,Male,Delhi NCR,766000,26,Silver,242000,2,35,0,5034,0.396,1,2,6,14,0,0,1
CUST100022,43,Male,Pune,905000,12,Gold,455000,2,42,8,25429,0.342,2,0,3,0,1,1,1
CUST100023,47,Female,Delhi NCR,862000,22,Gold,407000,1,37,7,28477,0.437,3,0,0,25,2,0,0
CUST100024,56,Female,Delhi NCR,694000,30,Silver,157000,1,24,7,10859,0.142,1,1,1,20,1,0,0
CUST100025,66,Female,Mumbai,545000,31,Basic,80000,1,33,5,3183,0.701,3,0,1,12,1,0,1
CUST100026,63,Male,Bangalore,2465000,9,Platinum,1478000,2,16,9,99568,0.095,2,1,3,10,1,0,1
CUST100027,58,Male,Delhi NCR,569000,13,Silver,142000,1,54,2,5816,0.334,2,0,2,0,4,0,1
CUST100028,40,Male,Delhi NCR,506000,1,Basic,71000,2,32,6,2891,0.72,2,2,5,26,1,1,1
CUST100029,49,Female,Chennai,926000,19,Gold,341000,1,42,2,14690,0.199,1,0,2,8,0,1,1
CUST100030,52,Female,Delhi NCR,,48,Silver,208000,1,36,9,18724,0.541,3,0,1,11,3,0,0
CUST100031,45,Male,Delhi NCR,337000,2,Basic,52000,1,22,6,2884,0.285,1,0,1,11,0,1,0
CUST100032,38,Female,Mumbai,1353000,63,Platinum,776000,2,66,9,52428,0.085,1,0,0,4,1,1,1
CUST100033,57,Male,Delhi NCR,693000,78,Silver,228000,1,30,8,14985,0.223,0,0,0,3,1,1,0
CUST100034,64,Male,Delhi NCR,396000,29,Basic,72000,2,12,9,2336,0.35,0,1,2,4,0,0,0
CUST100035,51,Male,Delhi NCR,1403000,63,Platinum,1233000,1,1,14,102475,0.317,0,0,0,41,2,0,0
CUST100036,66,Male,Mumbai,1029000,22,Gold,424000,1,4,5,13416,0.202,1,0,1,5,2,1,0
CUST100037,42,Female,Pune,364000,12,Basic,61000,2,1,13,3513,0.426,1,0,2,22,2,1,0
CUST100038,45,Female,Hyderabad,1939000,3,Platinum,1180000,1,38,7,100455,0.393,2,0,0,21,4,0,0
CUST100039,56,Male,Bangalore,1048000,3,Gold,439000,1,67,13,28384,0.246,1,1,1,30,2,1,0
CUST100040,50,Male,Chennai,725000,63,Silver,213000,2,28,13,11595,0.521,1,1,4,0,1,0,0
CUST100041,63,Female,Pune,1749000,95,Platinum,1461000,2,39,10,119554,0.635,4,0,0,28,4,0,0
